Date,ATRCT,AVBLS,BCDDC,BCDDE,BCDDM,BCDDY,BLCHS,CPTRA,CPTRV,DIFF,ETRAV,ETRVU,HRATE,MIOPM,MIREV,MKPRU,MKTCP,MWNTD,MWNUS,MWTRV,NADDU,NETDF,NTRAN,NTRAT,NTRBL,NTREP,TOTBC,TOUTV,TRFEE,TRFUS,TRVOU,TVTVR
2018-07-02,8.133333333,0.7052914422,11776051687,0,0,0,173273.7139,75.3937329,1.187565064,5077499034880,156142.4251,991949405.1,37103365.37,-119178,11673361.88,6374.754167,108801529651,33715,25777335,17716.44617,341861,-1230371.131,156247,325541212,1062.904762,148141,17126412.5,858834.3038,16.7928896,106682.7087,224327884.6,60.58214548
2018-07-01,12.375,0.9873401277,11776051687,0,0,0,173170.0361,58.73561376,2.15627987,5077499034880,82832.66576,493208885.1,35588942.3,-128340,10494418.5,6381.390833,101964514431,40994,25764015,29093.69836,368307,-1263581.173,181065,325384965,1284.148936,172009,17124575,738220.8729,23.60409759,140545.4062,489427084.1,93.15405891
2018-06-30,7.866666667,0.746513298,11776051687,0,0,0,173030.8211,57.60989406,1.737033004,5077499034880,110240.3139,656285943.9,38112980.76,-131315,11236721.63,5908.7025,101936041059,43869,25738468,36886.36503,453050,-1128804.249,197881,325203900,1310.470199,188020,17122812.5,1080974.502,27.41063627,163181.8222,414797814.1,76.35477809
2018-06-29,11.1,0.6894295669,11776051687,0,0,0,172918.0976,65.1275547,1.735857773,5077499034880,114621.099,703945479.4,39627403.83,-129434,12052693.75,6107.896154,105148160888,44253,25660460,49452.7446,396405,-1084806.104,187624,325006019,1195.057325,178519,17120925,912811.9757,27.15925646,166798.5735,262900494.4,86.47388884
2018-06-28,17.025,1.088043074,11776051687,0,0,0,172809.8572,50.28921213,1.191532305,5077499034880,129636.3392,795615808.3,30540865.37,-140129,9288788.415,6105.295,105064037362,44697,25626605,40542.05652,397865,-1086519.59,188510,324818395,1557.933884,179985,17118962.5,991757.0355,32.15886049,197368.2529,345979167.6,39.47331755
2018-06-27,10.925,1.067591651,11776051687,0,0,0,172678.204,59.34957083,1.901796082,5077499034880,97662.61819,609799528.3,36850961.53,-154169,11395190.5,6218.595,106880330753,46358,25601338,34518.29647,410397,-1074498.084,195404,324629885,1338.383562,187887,17117450,879369.8474,32.34384664,201953.0378,363193880.4,57.00989519
2018-06-26,8.25,0.9209478344,11776051687,0,0,0,172522.3356,61.44671555,1.820586961,5077499034880,109699.7935,675604827,39627403.83,-155843,12092548.55,6211.4475,105409486219,46831,25567509,34368.00607,415602,-1122529.246,200173,324434481,1274.987261,190416,17115625,1293772.802,34.68013653,213583.5164,501623219.9,80.89893329
2018-06-25,9.55,0.4847369357,11776051687,0,0,0,172377.7468,84.71232626,2.294493404,5077499034880,94335.89369,583414674.4,43161057.68,-157127,13225424.94,6037.008333,105838418912,30823,25538545,19724.30684,350051,-1270313.162,158022,324234308,924.1052632,149631,17113662.5,900357.7451,27.03085817,167170.7205,450337175.9,62.36461374
2018-06-24,11.125,0.5344226688,11776051687,0,0,0,172294.8568,75.27073765,2.871720576,5077499034880,70756.81395,428012920.5,40384615.37,-158048,12098140,6141.605833,103508812532,35163,25511649,21547.44443,368136,-2234559.937,163295,324076286,1020.59375,155485,17111525,1430821.495,31.93798474,193195.1054,558291379.5,32.87836901
2018-06-23,8.25,0.7952716887,11776051687,0,0,0,172209.3491,64.44384662,1.406837702,5077499034880,139066.2774,935134494.3,38112980.76,-159201,12793132.95,6332.573333,115050947720,42305,25471534,32990.72211,469522,-2151970.831,204144,323912991,1351.94702,193389,17109525,1866676.266,68.9368202,463557.375,478403874.5,31.78156601
2018-06-22,9.475,0.6167434294,11776051687,13076697,11981181,11162473,172089.2631,74.71825659,2.057220048,5077499034880,106868.4959,719546651.5,42908653.83,-156907,14388442.37,6733.901667,115185894364,45341,25446226,29448.36126,421061,-2146107.786,198113,323708847,1165.370588,188899,17107637.5,924429.0226,73.52012206,495011.717,246549992,24.19776328
